prompt_id,num_correct,pass_at_1,pass_at_32
gsm8k_validation_00272,49,0.095703125,0.9640742593679968
gsm8k_validation_00273,179,0.349609375,0.9999993933947429
gsm8k_validation_00274,285,0.556640625,0.9999999999986521
gsm8k_validation_00275,88,0.171875,0.9980609807463904
gsm8k_validation_00276,178,0.34765625,0.999999329118689
gsm8k_validation_00277,97,0.189453125,0.9990498080388193
gsm8k_validation_00278,161,0.314453125,0.9999964528289688
gsm8k_validation_00279,9,0.017578125,0.4432218966329915
gsm8k_validation_00280,221,0.431640625,0.9999999935573222
gsm8k_validation_00281,140,0.2734375,0.9999752127145665
gsm8k_validation_00282,122,0.23828125,0.9998799893001179
gsm8k_validation_00283,366,0.71484375,1.0
gsm8k_validation_00284,410,0.80078125,1.0
gsm8k_validation_00285,270,0.52734375,0.9999999999878771
gsm8k_validation_00286,436,0.8515625,1.0
gsm8k_validation_00287,416,0.8125,1.0
gsm8k_validation_00288,125,0.244140625,0.9999072368953849
gsm8k_validation_00289,64,0.125,0.9879392273970578
gsm8k_validation_00290,108,0.2109375,0.999611336599136
gsm8k_validation_00291,7,0.013671875,0.3652526119388907
gsm8k_validation_00292,243,0.474609375,0.9999999995522316
gsm8k_validation_00293,3,0.005859375,0.1763482790376425
gsm8k_validation_00294,48,0.09375,0.9614130933952558
gsm8k_validation_00295,294,0.57421875,0.9999999999996657
gsm8k_validation_00296,9,0.017578125,0.4432218966329915
gsm8k_validation_00297,320,0.625,0.9999999999999959
gsm8k_validation_00298,2,0.00390625,0.12120841487279843
gsm8k_validation_00299,75,0.146484375,0.994713423894724
gsm8k_validation_00300,30,0.05859375,0.8640067269797213
gsm8k_validation_00301,96,0.1875,0.9989706253753875
gsm8k_validation_00302,82,0.16015625,0.996907402433452
gsm8k_validation_00303,279,0.544921875,0.9999999999966952
gsm8k_validation_00304,159,0.310546875,0.9999957091385937
gsm8k_validation_00305,33,0.064453125,0.8893832376093884
gsm8k_validation_00306,308,0.6015625,0.9999999999999664
gsm8k_validation_00307,288,0.5625,0.9999999999991475
gsm8k_validation_00308,477,0.931640625,1.0
gsm8k_validation_00309,259,0.505859375,0.9999999999445748
gsm8k_validation_00310,437,0.853515625,1.0
gsm8k_validation_00311,393,0.767578125,1.0
gsm8k_validation_00312,58,0.11328125,0.9812529551380259
gsm8k_validation_00313,251,0.490234375,0.9999999998397514
gsm8k_validation_00314,371,0.724609375,1.0
gsm8k_validation_00315,441,0.861328125,1.0
gsm8k_validation_00316,334,0.65234375,0.9999999999999997
gsm8k_validation_00317,3,0.005859375,0.1763482790376425
gsm8k_validation_00318,109,0.212890625,0.9996421218190065
gsm8k_validation_00319,72,0.140625,0.9933658514787809
gsm8k_validation_00320,3,0.005859375,0.1763482790376425
gsm8k_validation_00321,120,0.234375,0.9998576734757635
gsm8k_validation_00322,389,0.759765625,1.0
gsm8k_validation_00323,27,0.052734375,0.8330299879189844
gsm8k_validation_00324,145,0.283203125,0.9999842311252651
gsm8k_validation_00325,131,0.255859375,0.9999449259442857
gsm8k_validation_00326,109,0.212890625,0.9996421218190065
gsm8k_validation_00327,155,0.302734375,0.9999937424035661
gsm8k_validation_00328,349,0.681640625,1.0
gsm8k_validation_00329,259,0.505859375,0.9999999999445748
gsm8k_validation_00330,139,0.271484375,0.999972886634995
gsm8k_validation_00331,32,0.0625,0.8814820402957734
gsm8k_validation_00332,332,0.6484375,0.9999999999999996
gsm8k_validation_00333,445,0.869140625,1.0
gsm8k_validation_00334,20,0.0390625,0.7318419877915436
gsm8k_validation_00335,64,0.125,0.9879392273970578
gsm8k_validation_00336,170,0.33203125,0.9999985151289627
gsm8k_validation_00337,420,0.8203125,1.0
gsm8k_validation_00338,134,0.26171875,0.9999577006763702
gsm8k_validation_00339,185,0.361328125,0.9999996707426031
gsm8k_validation_00340,157,0.306640625,0.9999948153707197
gsm8k_validation_00341,406,0.79296875,1.0
gsm8k_validation_00342,163,0.318359375,0.9999970709635836
gsm8k_validation_00343,164,0.3203125,0.9999973395285273
gsm8k_validation_00344,74,0.14453125,0.9942967479455397
gsm8k_validation_00345,255,0.498046875,0.9999999999053402
gsm8k_validation_00346,184,0.359375,0.9999996351472088
gsm8k_validation_00347,229,0.447265625,0.999999997493536
gsm8k_validation_00348,117,0.228515625,0.9998164944034438
gsm8k_validation_00349,346,0.67578125,1.0
gsm8k_validation_00350,372,0.7265625,1.0
gsm8k_validation_00351,423,0.826171875,1.0
gsm8k_validation_00352,423,0.826171875,1.0
gsm8k_validation_00353,270,0.52734375,0.9999999999878771
gsm8k_validation_00354,39,0.076171875,0.9271093860085869
gsm8k_validation_00355,124,0.2421875,0.9998988986387902
gsm8k_validation_00356,3,0.005859375,0.1763482790376425
gsm8k_validation_00357,234,0.45703125,0.9999999986306354
gsm8k_validation_00358,17,0.033203125,0.6721720689769037
gsm8k_validation_00359,172,0.3359375,0.9999987803690841
gsm8k_validation_00360,416,0.8125,1.0
gsm8k_validation_00361,163,0.318359375,0.9999970709635836
gsm8k_validation_00362,321,0.626953125,0.9999999999999966
gsm8k_validation_00363,273,0.533203125,0.9999999999920933
gsm8k_validation_00364,30,0.05859375,0.8640067269797213
gsm8k_validation_00365,13,0.025390625,0.5722990885914971
gsm8k_validation_00366,422,0.82421875,1.0
gsm8k_validation_00367,449,0.876953125,1.0
gsm8k_validation_00368,262,0.51171875,0.9999999999631216
gsm8k_validation_00369,402,0.78515625,1.0
gsm8k_validation_00370,301,0.587890625,0.9999999999998919
gsm8k_validation_00371,111,0.216796875,0.9996967647006594
gsm8k_validation_00372,197,0.384765625,0.9999999064429479
gsm8k_validation_00373,25,0.048828125,0.808690533962536
gsm8k_validation_00374,368,0.71875,1.0
gsm8k_validation_00375,149,0.291015625,0.9999890696795007
gsm8k_validation_00376,185,0.361328125,0.9999996707426031
gsm8k_validation_00377,107,0.208984375,0.9995779928221182
gsm8k_validation_00378,363,0.708984375,1.0
gsm8k_validation_00379,34,0.06640625,0.896773083948636
gsm8k_validation_00380,252,0.4921875,0.9999999998593987
gsm8k_validation_00381,71,0.138671875,0.9928467982937467
gsm8k_validation_00382,71,0.138671875,0.9928467982937467
gsm8k_validation_00383,268,0.5234375,0.9999999999839312
gsm8k_validation_00384,20,0.0390625,0.7318419877915436
gsm8k_validation_00385,323,0.630859375,0.9999999999999977
gsm8k_validation_00386,318,0.62109375,0.9999999999999941
gsm8k_validation_00387,10,0.01953125,0.4786431676225428
gsm8k_validation_00388,188,0.3671875,0.9999997584962974
gsm8k_validation_00389,320,0.625,0.9999999999999959
gsm8k_validation_00390,180,0.3515625,0.9999994516871399
gsm8k_validation_00391,83,0.162109375,0.997137549229102
gsm8k_validation_00392,310,0.60546875,0.9999999999999761
gsm8k_validation_00393,22,0.04296875,0.7656231570807317
gsm8k_validation_00394,57,0.111328125,0.9798347389782548
gsm8k_validation_00395,78,0.15234375,0.9957941019629594
gsm8k_validation_00396,334,0.65234375,0.9999999999999997
gsm8k_validation_00397,219,0.427734375,0.999999991877251
gsm8k_validation_00398,292,0.5703125,0.9999999999995419
gsm8k_validation_00399,385,0.751953125,1.0
gsm8k_validation_00400,35,0.068359375,0.903683672470903
gsm8k_validation_00401,38,0.07421875,0.9218322374843217
gsm8k_validation_00402,151,0.294921875,0.99999091427402
gsm8k_validation_00403,37,0.072265625,0.9161858076863495
gsm8k_validation_00404,56,0.109375,0.9783128324860476
gsm8k_validation_00405,441,0.861328125,1.0
gsm8k_validation_00406,129,0.251953125,0.9999344105429765
gsm8k_validation_00407,113,0.220703125,0.9997432859864833
gsm8k_validation_00408,362,0.70703125,1.0
gsm8k_validation_00409,0,0.0,0.0
gsm8k_validation_00410,36,0.0703125,0.9101451451772575
gsm8k_validation_00411,162,0.31640625,0.9999967762177807
gsm8k_validation_00412,97,0.189453125,0.9990498080388193
gsm8k_validation_00413,118,0.23046875,0.9998313606796205
gsm8k_validation_00414,56,0.109375,0.9783128324860476
gsm8k_validation_00415,55,0.107421875,0.9766799163438207
gsm8k_validation_00416,47,0.091796875,0.9585614051473301
gsm8k_validation_00417,181,0.353515625,0.9999995045365723
gsm8k_validation_00418,211,0.412109375,0.9999999798112733
gsm8k_validation_00419,307,0.599609375,0.9999999999999601
gsm8k_validation_00420,84,0.1640625,0.997351065370521
gsm8k_validation_00421,448,0.875,1.0
gsm8k_validation_00422,42,0.08203125,0.9409522507311175
gsm8k_validation_00423,95,0.185546875,0.9988850669650301
gsm8k_validation_00424,141,0.275390625,0.9999773449541737
gsm8k_validation_00425,170,0.33203125,0.9999985151289627
gsm8k_validation_00426,188,0.3671875,0.9999997584962974
gsm8k_validation_00427,224,0.4375,0.9999999954634032
gsm8k_validation_00428,319,0.623046875,0.9999999999999951
gsm8k_validation_00429,319,0.623046875,0.9999999999999951
gsm8k_validation_00430,194,0.37890625,0.999999871257849
gsm8k_validation_00431,183,0.357421875,0.9999995958364704
gsm8k_validation_00432,10,0.01953125,0.4786431676225428
gsm8k_validation_00433,103,0.201171875,0.999414682260423
gsm8k_validation_00434,217,0.423828125,0.9999999897761296
gsm8k_validation_00435,454,0.88671875,1.0
gsm8k_validation_00436,23,0.044921875,0.7809293998836226
gsm8k_validation_00437,135,0.263671875,0.9999612815714923
gsm8k_validation_00438,62,0.12109375,0.9860195340124581
gsm8k_validation_00439,330,0.64453125,0.9999999999999993
